candidate_id,rank,score,reasoning
CAND_0052682,53,0.8406,6.6yr NLP Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0051466,54,0.8401,5.3yr AI Research Engineer — peripheral fit. 4/4 JD must-haves.
CAND_0064326,55,0.8401,7.6yr Search Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0081053,56,0.8376,5.4yr NLP Engineer — peripheral fit. 4/4 JD must-haves. Notice: 90d.
CAND_0093193,57,0.8375,7.9yr Senior Machine Learning Engineer — peripheral fit. 4/4 JD must-haves.
CAND_0024147,58,0.8356,5.9yr ML Engineer — peripheral fit. 4/4 JD must-haves.
CAND_0069905,59,0.8351,6.6yr Applied ML Engineer — peripheral fit. 4/4 JD must-haves. Notice: 90d.
CAND_0011687,60,0.8346,7.8yr Senior NLP Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0050454,61,0.8331,6.8yr AI Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0030468,62,0.8326,5.4yr Senior Applied Scientist — peripheral fit. 4/4 JD must-haves.
CAND_0005538,63,0.8291,5.9yr Senior AI Engineer — peripheral fit. 4/4 JD must-haves. Notice: 90d.
CAND_0007009,64,0.8291,7.9yr Recommendation Systems Engineer — peripheral fit. 4/4 JD must-haves.
CAND_0051004,65,0.8290,4.7yr Senior Data Scientist — peripheral fit. 3/4 JD must-haves.
CAND_0078002,66,0.8281,6.3yr Machine Learning Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0018888,67,0.8276,6.5yr AI Research Engineer — peripheral fit. 4/4 JD must-haves. Not marked open-to-work.
CAND_0033861,68,0.8271,8.0yr Senior NLP Engineer — peripheral fit. 4/4 JD must-haves. Not marked open-to-work.
CAND_0061257,69,0.8271,8.0yr Staff Machine Learning Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0094759,70,0.8271,8.6yr Lead AI Engineer — peripheral fit. 4/4 JD must-haves. Not marked open-to-work.
CAND_0084819,71,0.8250,4.5yr Search Engineer — peripheral fit. 4/4 JD must-haves. Notice 120d is long.
CAND_0016659,72,0.8240,4.4yr ML Engineer — peripheral fit. 4/4 JD must-haves.
CAND_0028422,73,0.8231,5.5yr Junior ML Engineer — peripheral fit. 4/4 JD must-haves. Notice: 90d.
CAND_0054318,74,0.8230,3.5yr AI Research Engineer — peripheral fit. 4/4 JD must-haves.
CAND_0002025,75,0.8226,5.9yr Senior AI Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0072660,76,0.8226,7.1yr Machine Learning Engineer — peripheral fit. 4/4 JD must-haves.
CAND_0067643,77,0.8221,6.0yr AI Research Engineer — peripheral fit. 4/4 JD must-haves. Not marked open-to-work.
CAND_0075574,78,0.8191,5.7yr Machine Learning Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0062247,79,0.8181,7.3yr AI Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0013456,80,0.8180,4.7yr Data Scientist — peripheral fit. 4/4 JD must-haves.
CAND_0091899,81,0.8176,5.8yr Senior Software Engineer (ML) — peripheral fit. 4/4 JD must-haves. Not marked open-to-work.
CAND_0049538,82,0.8166,5.8yr Applied ML Engineer — peripheral fit. 4/4 JD must-haves. Not marked open-to-work.
CAND_0043637,83,0.8161,5.5yr Junior ML Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0011125,84,0.8151,6.6yr Junior ML Engineer — peripheral fit. 4/4 JD must-haves. Notice 120d is long.
CAND_0033987,85,0.8146,6.8yr ML Engineer — peripheral fit. 4/4 JD must-haves. Notice: 90d.
CAND_0079284,86,0.8140,4.9yr Machine Learning Engineer — peripheral fit. 3/4 JD must-haves. Not marked open-to-work.
CAND_0023215,87,0.8135,4.4yr Junior ML Engineer — peripheral fit. 4/4 JD must-haves.
CAND_0080472,88,0.8125,4.4yr Junior ML Engineer — peripheral fit. 4/4 JD must-haves. Notice 120d is long.
CAND_0032216,89,0.8121,6.1yr ML Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0089947,90,0.8121,5.4yr Junior ML Engineer — peripheral fit. 4/4 JD must-haves. Notice: 90d.
CAND_0010685,91,0.8116,6.7yr NLP Engineer — peripheral fit. 4/4 JD must-haves.
CAND_0067041,92,0.8095,6.9yr Data Scientist — peripheral fit. 4/4 JD must-haves. Notice 120d is long.
CAND_0041669,93,0.8091,8.0yr Recommendation Systems Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0068811,94,0.8091,8.0yr Applied ML Engineer — peripheral fit. 3/4 JD must-haves.
CAND_0070202,95,0.8091,5.1yr Machine Learning Engineer — peripheral fit. 4/4 JD must-haves. Notice: 90d.
CAND_0062561,96,0.8081,5.9yr ML Engineer — peripheral fit. 4/4 JD must-haves. [#96]
CAND_0020708,97,0.8080,4.2yr Search Engineer — peripheral fit. 4/4 JD must-haves.
CAND_0037944,98,0.8080,4.9yr Senior Data Scientist — peripheral fit. 3/4 JD must-haves.
CAND_0065878,99,0.8076,7.8yr Senior Data Scientist — peripheral fit. 3/4 JD must-haves.
CAND_0061339,100,0.8070,4.2yr Search Engineer — peripheral fit. 4/4 JD must-haves. Notice: 90d.
